BenchmarkTest01516,52,Connection.prepareStatement,sqli
BenchmarkTest09680,54,Statement.execute,sqli
BenchmarkTest05246,59,Connection.prepareCall,sqli
BenchmarkTest03480,54,XPath.compile,xpathi
BenchmarkTest13454,50,Statement.execute,sqli
BenchmarkTest05950,59,XPath.compile,xpathi
BenchmarkTest17955,52,DirContext.search,ldapi
BenchmarkTest15924,54,Connection.prepareStatement,sqli
BenchmarkTest08833,67,Runtime.exec,cmdi
BenchmarkTest11755,49,InitialDirContext.search,ldapi
BenchmarkTest18785,62,ProcessBuilder.command,cmdi
BenchmarkTest01263,73,ProcessBuilder,cmdi
BenchmarkTest06363,67,Runtime.exec,cmdi
BenchmarkTest06633,70,DirContext.search,ldapi
BenchmarkTest16568,54,Connection.prepareStatement,sqli
BenchmarkTest03277,65,Runtime.exec,cmdi
BenchmarkTest04101,58,Statement.executeUpdate,sqli
BenchmarkTest19924,48,InitialDirContext.search,ldapi
BenchmarkTest09494,67,Runtime.exec,cmdi
BenchmarkTest15986,53,XPath.evaluate,xpathi
BenchmarkTest12399,53,InitialDirContext.search,ldapi
BenchmarkTest08377,50,Connection.prepareStatement,sqli
BenchmarkTest19699,54,Connection.prepareStatement,sqli
BenchmarkTest02633,83,Runtime.exec,cmdi
BenchmarkTest08602,52,InitialDirContext.search,ldapi
BenchmarkTest12855,54,Statement.executeUpdate,sqli
BenchmarkTest07716,68,Connection.prepareCall,sqli
BenchmarkTest02177,57,Statement.execute,sqli
BenchmarkTest20545,50,InitialDirContext.search,ldapi
BenchmarkTest05747,71,Runtime.exec,cmdi
BenchmarkTest14137,50,XPath.evaluate,xpathi
BenchmarkTest15969,54,Statement.executeQuery,sqli
BenchmarkTest00850,76,Connection.prepareStatement,sqli
BenchmarkTest11507,54,Connection.prepareStatement,sqli
BenchmarkTest10869,55,Connection.prepareStatement,sqli
BenchmarkTest02616,58,Runtime.exec,cmdi
BenchmarkTest18284,67,Runtime.exec,cmdi
BenchmarkTest14554,81,Runtime.exec,cmdi
BenchmarkTest17184,50,Connection.prepareCall,sqli
BenchmarkTest11023,52,DirContext.search,ldapi
BenchmarkTest08129,60,ProcessBuilder.command,cmdi
BenchmarkTest09516,67,Runtime.exec,cmdi
BenchmarkTest14098,51,Statement.execute,sqli
BenchmarkTest13268,63,Runtime.exec,cmdi
BenchmarkTest07733,68,Connection.prepareStatement,sqli
BenchmarkTest15941,54,Statement.execute,sqli
BenchmarkTest12771,54,Connection.prepareCall,sqli
BenchmarkTest17206,50,Connection.prepareStatement,sqli
BenchmarkTest12872,53,XPath.compile,xpathi
BenchmarkTest09477,55,Runtime.exec,cmdi
BenchmarkTest01494,71,Connection.prepareStatement,sqli
BenchmarkTest15170,62,Runtime.exec,cmdi
BenchmarkTest02864,63,XPath.evaluate,xpathi
BenchmarkTest17871,55,Statement.executeUpdate,sqli
BenchmarkTest13437,50,Connection.prepareStatement,sqli
BenchmarkTest04129,69,XPath.evaluate,xpathi
BenchmarkTest04878,52,InitialDirContext.search,ldapi
BenchmarkTest08816,56,Runtime.exec,cmdi
BenchmarkTest09015,54,Statement.addBatch,sqli
BenchmarkTest14036,51,Connection.prepareStatement,sqli
BenchmarkTest18869,53,Runtime.exec,cmdi
BenchmarkTest15907,54,Connection.prepareStatement,sqli
BenchmarkTest06948,54,Runtime.exec,cmdi
BenchmarkTest15153,63,Runtime.exec,cmdi
BenchmarkTest17938,53,DirContext.search,ldapi
BenchmarkTest19738,54,Statement.executeUpdate,sqli
BenchmarkTest02802,62,Statement.execute,sqli
BenchmarkTest01246,67,ProcessBuilder.command,cmdi
BenchmarkTest00878,78,Connection.prepareStatement,sqli
BenchmarkTest14070,51,Connection.prepareStatement,sqli
BenchmarkTest04062,58,Connection.prepareStatement,sqli
BenchmarkTest11524,54,Connection.prepareStatement,sqli
BenchmarkTest17668,68,Runtime.exec,cmdi
BenchmarkTest07795,68,Statement.executeUpdate,sqli
BenchmarkTest02132,62,Connection.prepareCall,sqli
BenchmarkTest16540,54,Connection.prepareCall,sqli
BenchmarkTest10925,55,Statement.execute,sqli
BenchmarkTest20359,50,Statement.execute,sqli
BenchmarkTest19671,54,Connection.prepareStatement,sqli
BenchmarkTest15524,52,InitialDirContext.search,ldapi
BenchmarkTest02847,59,Statement.executeUpdate,sqli
BenchmarkTest04647,64,Connection.prepareStatement,sqli
BenchmarkTest05995,70,DirContext.search,ldapi
BenchmarkTest13808,61,ProcessBuilder.command,cmdi
BenchmarkTest09077,53,XPath.compile,xpathi
BenchmarkTest16585,54,Statement.execute,sqli
BenchmarkTest12641,56,Runtime.exec,cmdi
BenchmarkTest14571,81,Runtime.exec,cmdi
BenchmarkTest12810,54,Statement.addBatch,sqli
BenchmarkTest15299,50,Connection.prepareStatement,sqli
BenchmarkTest01995,57,Runtime.exec,cmdi
BenchmarkTest07750,68,Connection.prepareStatement,sqli
BenchmarkTest20213,52,Runtime.exec,cmdi
BenchmarkTest09781,49,DirContext.search,ldapi
BenchmarkTest15423,53,DirContext.search,ldapi
BenchmarkTest02194,64,Statement.executeQuery,sqli
BenchmarkTest10886,55,Connection.prepareStatement,sqli
BenchmarkTest00917,89,Statement.executeUpdate,sqli
BenchmarkTest18470,54,Statement.execute,sqli
BenchmarkTest20962,51,Connection.prepareStatement,sqli
BenchmarkTest10306,50,Statement.executeUpdate,sqli
BenchmarkTest17268,49,XPath.evaluate,xpathi
BenchmarkTest00748,78,Runtime.exec,cmdi
BenchmarkTest11569,54,Statement.executeUpdate,sqli
BenchmarkTest03001,51,InitialDirContext.search,ldapi
BenchmarkTest19052,51,Connection.prepareStatement,sqli
BenchmarkTest14740,68,Statement.execute,sqli
BenchmarkTest20793,64,Runtime.exec,cmdi
BenchmarkTest20089,59,ProcessBuilder,cmdi
BenchmarkTest13499,49,XPath.compile,xpathi
BenchmarkTest17584,63,ProcessBuilder,cmdi
BenchmarkTest14723,68,Statement.addBatch,sqli
BenchmarkTest19755,54,Statement.executeUpdate,sqli
BenchmarkTest00315,64,Runtime.exec,cmdi
BenchmarkTest19553,66,Runtime.exec,cmdi
BenchmarkTest10739,57,Runtime.exec,cmdi
BenchmarkTest18886,64,Runtime.exec,cmdi
BenchmarkTest15136,52,Runtime.exec,cmdi
BenchmarkTest04546,64,Runtime.exec,cmdi
BenchmarkTest10284,50,Statement.executeUpdate,sqli
BenchmarkTest12207,51,Statement.execute,sqli
BenchmarkTest19119,50,XPath.evaluate,xpathi
BenchmarkTest11406,56,Runtime.exec,cmdi
BenchmarkTest08231,51,Runtime.exec,cmdi
BenchmarkTest16939,58,ProcessBuilder,cmdi
BenchmarkTest12799,54,Connection.prepareStatement,sqli
BenchmarkTest02532,72,ProcessBuilder.command,cmdi
BenchmarkTest03879,61,Runtime.exec,cmdi
BenchmarkTest04501,65,Runtime.exec,cmdi
BenchmarkTest10740,57,Runtime.exec,cmdi
BenchmarkTest12253,50,XPath.compile,xpathi
BenchmarkTest11586,54,Statement.executeUpdate,sqli
BenchmarkTest01364,70,Runtime.exec,cmdi
BenchmarkTest20331,50,Connection.prepareStatement,sqli
BenchmarkTest02031,64,Runtime.exec,cmdi
BenchmarkTest00703,77,Runtime.exec,cmdi
BenchmarkTest08963,54,Connection.prepareCall,sqli
BenchmarkTest13167,60,ProcessBuilder.command,cmdi
BenchmarkTest04681,56,Statement.execute,sqli
BenchmarkTest05302,53,Statement.execute,sqli
BenchmarkTest05894,57,Statement.addBatch,sqli
BenchmarkTest15338,50,Statement.executeQuery,sqli
BenchmarkTest19035,51,Connection.prepareStatement,sqli
BenchmarkTest01916,65,ProcessBuilder,cmdi
BenchmarkTest10238,50,Connection.prepareStatement,sqli
BenchmarkTest05477,56,InitialDirContext.search,ldapi
BenchmarkTest13899,53,Runtime.exec,cmdi
BenchmarkTest18453,54,Statement.execute,sqli
BenchmarkTest11907,62,ProcessBuilder.command,cmdi
BenchmarkTest19710,54,Statement.execute,sqli
BenchmarkTest04180,54,DirContext.search,ldapi
BenchmarkTest01747,54,InitialDirContext.search,ldapi
BenchmarkTest07362,67,InitialDirContext.search,ldapi
BenchmarkTest17786,55,Connection.prepareStatement,sqli
BenchmarkTest15772,67,Runtime.exec,cmdi
BenchmarkTest02278,60,DirContext.search,ldapi
BenchmarkTest09032,54,Statement.execute,sqli
