BenchmarkTest00002,pathtraver,true,22,true,pass
BenchmarkTest00003,pathtraver,true,22,true,pass
BenchmarkTest00004,pathtraver,true,22,true,pass
BenchmarkTest00005,pathtraver,true,22,true,pass
BenchmarkTest00006,pathtraver,true,22,true,pass
BenchmarkTest00007,hash,true,328,true,pass
BenchmarkTest00008,hash,true,328,true,pass
BenchmarkTest00009,xss,false,79,true,fail
BenchmarkTest00010,xss,false,79,true,fail
BenchmarkTest00011,xss,false,79,true,fail
BenchmarkTest00012,xss,false,79,true,fail
BenchmarkTest00013,xss,false,79,true,fail
BenchmarkTest00014,xss,false,79,true,fail
BenchmarkTest00015,xss,false,79,true,fail
BenchmarkTest00016,weakrand,true,330,true,pass
BenchmarkTest00017,xss,false,79,true,fail
BenchmarkTest00018,cmdi,true,78,true,pass
BenchmarkTest00019,cmdi,true,78,true,pass
BenchmarkTest00020,cmdi,true,78,true,pass
BenchmarkTest00021,cmdi,true,78,true,pass
BenchmarkTest00025,trustbound,true,501,true,pass
BenchmarkTest00026,sqli,true,89,true,pass
BenchmarkTest00027,sqli,true,89,true,pass
BenchmarkTest00028,sqli,true,89,true,pass
BenchmarkTest00029,sqli,true,89,true,pass
BenchmarkTest00030,sqli,true,89,true,pass
BenchmarkTest00031,xpathi,true,643,true,pass
BenchmarkTest00032,pathtraver,true,22,true,pass
BenchmarkTest00033,pathtraver,true,22,true,pass
BenchmarkTest00034,ldapi,true,90,true,pass
BenchmarkTest00035,weakrand,true,330,true,pass
BenchmarkTest00037,xss,true,79,true,pass
BenchmarkTest00038,xss,true,79,true,pass
BenchmarkTest00039,xss,true,79,true,pass
BenchmarkTest00040,xss,true,79,true,pass
BenchmarkTest00041,xss,true,79,true,pass
BenchmarkTest00042,cmdi,true,78,true,pass
BenchmarkTest00043,weakrand,true,330,true,pass
BenchmarkTest00044,weakrand,true,330,true,pass
BenchmarkTest00045,cmdi,true,78,true,pass
BenchmarkTest00050,trustbound,true,501,true,pass
BenchmarkTest00051,trustbound,true,501,true,pass
BenchmarkTest00052,sqli,true,89,true,pass
BenchmarkTest00053,sqli,true,89,true,pass
BenchmarkTest00054,sqli,true,89,true,pass
BenchmarkTest00055,sqli,true,89,true,pass
BenchmarkTest00057,ldapi,true,90,true,pass
BenchmarkTest00058,pathtraver,true,22,true,pass
BenchmarkTest00059,pathtraver,true,22,true,pass
BenchmarkTest00060,pathtraver,true,22,true,pass
BenchmarkTest00064,xss,false,79,true,fail
BenchmarkTest00065,xss,false,79,true,fail
BenchmarkTest00066,xss,false,79,true,fail
BenchmarkTest00067,xss,false,79,true,fail
BenchmarkTest00068,xss,false,79,true,fail
BenchmarkTest00069,securecookie,true,614,true,pass
BenchmarkTest00070,xss,false,79,true,fail
BenchmarkTest00071,cmdi,true,78,true,pass
BenchmarkTest00072,cmdi,true,78,true,pass
BenchmarkTest00076,trustbound,true,501,true,pass
BenchmarkTest00077,trustbound,true,501,true,pass
BenchmarkTest00078,sqli,true,89,true,pass
BenchmarkTest00079,sqli,true,89,true,pass
BenchmarkTest00080,sqli,true,89,true,pass
BenchmarkTest00081,sqli,true,89,true,pass
BenchmarkTest00082,sqli,true,89,true,pass
BenchmarkTest00083,sqli,true,89,true,pass
BenchmarkTest00087,crypto,true,327,true,pass
BenchmarkTest00088,ldapi,true,90,true,pass
BenchmarkTest00089,pathtraver,true,22,true,pass
BenchmarkTest00090,pathtraver,true,22,true,pass
BenchmarkTest00091,pathtraver,true,22,true,pass
BenchmarkTest00092,pathtraver,true,22,true,pass
BenchmarkTest00093,pathtraver,true,22,true,pass
BenchmarkTest00094,pathtraver,true,22,true,pass
BenchmarkTest00095,hash,true,328,true,pass
BenchmarkTest00096,xss,true,79,true,pass
BenchmarkTest00097,xss,true,79,true,pass
BenchmarkTest00098,xss,true,79,true,pass
BenchmarkTest00099,xss,true,79,true,pass
BenchmarkTest00100,xss,true,79,true,pass
BenchmarkTest00101,weakrand,true,330,true,pass
BenchmarkTest00102,weakrand,true,330,true,pass
BenchmarkTest00103,weakrand,true,330,true,pass
BenchmarkTest00104,weakrand,true,330,true,pass
BenchmarkTest00105,cmdi,true,78,true,pass
BenchmarkTest00106,cmdi,true,78,true,pass
BenchmarkTest00107,cmdi,true,78,true,pass
BenchmarkTest00112,sqli,true,89,true,pass
BenchmarkTest00113,sqli,true,89,true,pass
BenchmarkTest00114,sqli,true,89,true,pass
BenchmarkTest00115,sqli,true,89,true,pass
BenchmarkTest00116,sqli,true,89,true,pass
BenchmarkTest00117,xpathi,true,643,true,pass
BenchmarkTest00119,hash,true,328,true,pass
BenchmarkTest00120,weakrand,true,330,true,pass
BenchmarkTest00126,crypto,true,327,true,pass
BenchmarkTest00127,pathtraver,true,22,true,pass
BenchmarkTest00128,pathtraver,true,22,true,pass
BenchmarkTest00129,pathtraver,true,22,true,pass
BenchmarkTest00130,pathtraver,true,22,true,pass
BenchmarkTest00132,hash,true,328,true,pass
BenchmarkTest00133,xss,true,79,true,pass
BenchmarkTest00134,xss,true,79,true,pass
BenchmarkTest00135,xss,true,79,true,pass
BenchmarkTest00136,xss,true,79,true,pass
BenchmarkTest00137,cmdi,true,78,true,pass
BenchmarkTest00138,cmdi,true,78,true,pass
BenchmarkTest00139,weakrand,true,330,true,pass
BenchmarkTest00140,weakrand,true,330,true,pass
